# Schaefer parcellation centroids in fsaverage surface space
# Coordinate convention: x=ML, y=AP, z=DV (RAS orientation)
# n_parcels=400, n_networks=7
# Limitations: coordinates are surface-based, not MNI volumetric
parcel_idx,label,hemi,network,x,y,z
0,7Networks_LH_Cont_Cing_1-lh,lh,Cont,-2.2256717918325513,3.6683418127521312,30.230103321564503
1,7Networks_LH_Cont_Cing_2-lh,lh,Cont,-3.1809476000639414,-21.007527719394794,29.78528140953138
2,7Networks_LH_Cont_OFC_1-lh,lh,Cont,-27.72670631495984,46.75480225866392,-14.109120785780847
3,7Networks_LH_Cont_PFCl_1-lh,lh,Cont,-42.233020168700676,46.22517440858052,-4.52016727584215
4,7Networks_LH_Cont_PFCl_2-lh,lh,Cont,-45.096832626477806,32.46106359431174,10.397534436620441
5,7Networks_LH_Cont_PFCl_3-lh,lh,Cont,-39.34782922495966,46.15311339668606,11.77650232563848
6,7Networks_LH_Cont_PFCl_4-lh,lh,Cont,-28.39669974502809,50.5418346111591,12.993818799157049
7,7Networks_LH_Cont_PFCl_5-lh,lh,Cont,-42.35231753906917,35.688901406168284,20.877683296881088
8,7Networks_LH_Cont_PFCl_6-lh,lh,Cont,-42.863522799894774,21.123559542518247,25.789002730884654
9,7Networks_LH_Cont_PFCl_7-lh,lh,Cont,-37.14715568504142,6.909435672052142,31.01085873065482
10,7Networks_LH_Cont_PFCl_8-lh,lh,Cont,-37.89648876758601,31.07452515734742,36.07220465300099
11,7Networks_LH_Cont_PFCmp_1-lh,lh,Cont,-4.862709725057924,25.65371003708282,45.29731506991696
12,7Networks_LH_Cont_PFCv_1-lh,lh,Cont,-33.10543285536419,18.187212309569677,-9.939000995639951
13,7Networks_LH_Cont_Par_1-lh,lh,Cont,-28.972550839407567,-72.08451705061768,36.627593393065496
14,7Networks_LH_Cont_Par_2-lh,lh,Cont,-57.43772529241607,-45.16406984404316,42.6297962684331
15,7Networks_LH_Cont_Par_3-lh,lh,Cont,-51.70714798822522,-53.069469202543004,39.308137758384994
16,7Networks_LH_Cont_Par_4-lh,lh,Cont,-33.01249050057453,-60.82633115703933,41.58812086132989
17,7Networks_LH_Cont_Par_5-lh,lh,Cont,-41.75459424227369,-54.409667524385625,40.20693772838962
18,7Networks_LH_Cont_Par_6-lh,lh,Cont,-44.248438752507155,-44.614001446082945,42.80799689728426
19,7Networks_LH_Cont_Temp_1-lh,lh,Cont,-60.024721392941515,-49.59256503171226,-10.852849359675368
20,7Networks_LH_Cont_pCun_1-lh,lh,Cont,-10.760401704632644,-75.83670678375461,43.223036820161425
21,7Networks_LH_Cont_pCun_2-lh,lh,Cont,-7.017724206677307,-60.92232099007134,51.415970837159016
