regressor,cog,partial_r,p,n,partial_r_specctrl,p_specctrl,fdr
dv_delta,ACE-R total,0.020107813485674534,0.6107927960632291,645,0.023805518179845844,0.5471159678315556,0.8927804781528046
dv_delta,verbal fluency,0.0169384559362308,0.6681335661695763,645,0.021017916138556084,0.5950259581973675,0.8927804781528046
dv_delta,ACE-R memory,-0.0017452779395043128,0.9647691251591117,645,0.0009976990599725906,0.9798713800721678,0.9647691251591117
dv_delta,language,0.0117984323874748,0.765240409845261,645,0.013288634625763684,0.7368238387265593,0.8927804781528046
dv_delta,visuospatial,0.051971513187533167,0.18811024015140587,645,0.05424849291632429,0.16979418100646562,0.8927804781528046
dv_delta,Spot-the-Word,0.01838560424404828,0.6419452528914897,644,0.02102825109295382,0.5951330199624343,0.8927804781528046
dv_delta,MMSE,-0.02438943231589709,0.5373270424584607,644,-0.024071520624465388,0.5429614347419274,0.8927804781528046
dv_theta,ACE-R total,-0.12298949312873175,0.001781070563085103,645,-0.02611288060382606,0.508956075770855,0.006233746970797861
dv_theta,verbal fluency,-0.1559272570558602,7.171165450483187e-05,645,-0.05772174297001027,0.14404142390662195,0.0005019815815338231
dv_theta,ACE-R memory,-0.0752927700703272,0.056361931475426855,645,0.011868498925465695,0.7640663872521615,0.07890670406559759
dv_theta,language,-0.014295068827055089,0.7175017952949604,645,0.04319913526616323,0.2744180736016709,0.7175017952949604
dv_theta,visuospatial,-0.08466463580046983,0.03182858396485133,645,-0.03140119800232299,0.4270323951846092,0.05570002193848983
dv_theta,Spot-the-Word,-0.11122865707083289,0.004779248798704093,644,-0.04401390929854986,0.2658341008010338,0.011151580530309551
dv_theta,MMSE,-0.018783512664143208,0.634754338641953,644,-0.014382694586306064,0.7162696525845652,0.7175017952949604
dv_alpha,ACE-R total,0.09011375003136853,0.022297629477240444,645,0.0477499525502632,0.22696790718893492,0.039020851585170775
dv_alpha,verbal fluency,0.09360339021388095,0.01758993686585549,645,0.04651610349249305,0.23921457191115722,0.039020851585170775
dv_alpha,ACE-R memory,0.051015528771036905,0.19637524870078932,645,0.015879151717462396,0.6879911457412603,0.27492534818110503
dv_alpha,language,0.04303428462132472,0.2758801167087291,645,0.025065895129755437,0.526097451771172,0.32186013616018394
dv_alpha,visuospatial,0.09720955590482336,0.01366189784834426,645,0.07404708646296189,0.06077859328363386,0.039020851585170775
dv_alpha,Spot-the-Word,0.10916712193936348,0.005623985010479517,644,0.07864782568948644,0.04654674858541953,0.039020851585170775
dv_alpha,MMSE,0.001611201534277129,0.9674994732138698,644,-0.00219693509318499,0.9557294098961232,0.9674994732138698
dv_beta,ACE-R total,0.056986171825994546,0.1489120123273897,645,0.012076308094366932,0.7600608098197252,0.260596021572932
dv_beta,verbal fluency,0.11061810661192628,0.004982591589964001,645,0.06414446758262461,0.10442284086891765,0.034878141129748005
dv_beta,ACE-R memory,-0.0026337115016052083,0.9468568659761142,645,-0.041315509891047736,0.29590880818249177,0.9468568659761142
dv_beta,language,0.02123901562408055,0.5908671200838093,645,0.0019154875462356266,0.9613659424321016,0.8272139681173329
dv_beta,visuospatial,0.07880351470149717,0.045773632962417855,645,0.05439749865621059,0.16862298514118151,0.106805143578975
dv_beta,Spot-the-Word,0.09547800537921511,0.015520035091376776,644,0.06387394880537686,0.10616938042030073,0.05432012281981871
dv_beta,MMSE,-0.013103284032999728,0.7403615917053402,644,-0.017706733340118956,0.6545438582705096,0.8637551903228969
dv_gamma,ACE-R total,0.10162028989529777,0.009923177750111442,645,-0.022124087790675435,0.5757864389367328,0.03473112212539005
dv_gamma,verbal fluency,0.1415334200631692,0.0003181187007405416,645,0.022941734085654607,0.5617563115673417,0.002226830905183791
dv_gamma,ACE-R memory,0.066846412544835,0.09033166581108083,645,-0.04046637436441772,0.30595486699449065,0.12646433213551317
dv_gamma,language,0.04253665986114824,0.28147590305965803,645,-0.010484259532319469,0.7909040650426851,0.32838855356960106
dv_gamma,visuospatial,0.08275395682569187,0.035909975874222504,645,0.02228728941832337,0.572972887825015,0.06284245777988938
dv_gamma,Spot-the-Word,0.09048379160506875,0.02185433815426526,644,0.003061127498542409,0.9383447423528996,0.05099345569328561
dv_gamma,MMSE,0.0035533082892176427,0.928400410281766,644,-0.009538896897795773,0.809524358164882,0.928400410281766
dv_broadband,ACE-R total,0.1312477502623739,0.0008497072713920805,645,0.04877279172918102,0.21715911437535868,0.0029739754498722816
dv_broadband,verbal fluency,0.1581724963241615,5.615004080811671e-05,645,0.07128161027234514,0.0710918855207986,0.000393050285656817
dv_broadband,ACE-R memory,0.0746168440559799,0.05861796869919963,645,-0.0005520931659667664,0.9888606795475906,0.08206515617887948
dv_broadband,language,0.05729704774074469,0.1467040984712298,645,0.02243805566504358,0.5703795165260571,0.17115478154976813
dv_broadband,visuospatial,0.09224107613517392,0.019312872520745886,645,0.046919532248010376,0.23516017214552562,0.0337975269113053
dv_broadband,Spot-the-Word,0.0956147182971459,0.015372084513560045,644,0.030618564395066463,0.43900854565664066,0.0337975269113053
dv_broadband,MMSE,-0.007173013757552578,0.8560567958223739,644,-0.019424935727102303,0.6235067266717433,0.8560567958223739
dv_tau,ACE-R total,-0.04115023069267491,0.29746930658988247,645,-0.002845075753009502,0.9426437746203566,0.5205712865322943
dv_tau,verbal fluency,-0.045158419195497346,0.25284872779363554,645,-0.0028070780716699115,0.9434085096765737,0.5205712865322943
dv_tau,ACE-R memory,-0.04502505515284942,0.2542541972135552,645,-0.014998924001383359,0.7044508108885416,0.5205712865322943
dv_tau,language,-0.05572511480613267,0.15812849832793271,645,-0.04085621744250513,0.30131498428758796,0.5205712865322943
dv_tau,visuospatial,-0.005466070227478508,0.8899741524246304,645,0.018207830859362905,0.645168845069232,0.8899741524246304
dv_tau,Spot-the-Word,0.01791497068147479,0.6504938359804664,644,0.049288032901095596,0.2126927516218019,0.8899741524246304
dv_tau,MMSE,-0.011349224690949343,0.7741028954474912,644,-0.008490851653196565,0.8301139119318683,0.8899741524246304
apex_delta,ACE-R total,-0.03352568573893279,0.3960425821183406,645,-0.06643940157728864,0.09256863499618978,0.6096322865715259
apex_delta,verbal fluency,-0.030808771739432063,0.43545163326537567,645,-0.0671464854760689,0.08914181406824917,0.6096322865715259
apex_delta,ACE-R memory,0.01965654576704593,0.6188238128044858,645,-0.0050004995167011665,0.8993716664669733,0.6188238128044858
apex_delta,language,-0.04334381628246393,0.2724378816714023,645,-0.05781131586491491,0.14341918070411427,0.6096322865715259
apex_delta,visuospatial,-0.04142191388433984,0.29428845239563545,645,-0.06138338546817352,0.12024420622492708,0.6096322865715259
apex_delta,Spot-the-Word,-0.034661120236966964,0.3806030481395862,644,-0.05987044906374884,0.12997547222131958,0.6096322865715259
apex_delta,MMSE,-0.02511015850135813,0.5253668526763259,644,-0.02826037476924869,0.4750777513843549,0.6129279947890469
apex_theta,ACE-R total,0.06921916753553564,0.07944591715068858,645,-0.01033759668605274,0.7937627314552955,0.27806071002741
apex_theta,verbal fluency,0.10484213931773696,0.007798026825508542,645,0.022359282112140475,0.5717338256590293,0.054586187778559794
apex_theta,ACE-R memory,0.03424924170545522,0.3859213001484572,645,-0.03304748638088134,0.4031861535188566,0.6064304460379806
apex_theta,language,0.023924582578488406,0.5447986436640688,645,-0.010895781748843581,0.782898000161627,0.6064304460379806
apex_theta,visuospatial,0.020891414444836734,0.5969581922163024,645,-0.030361715552492022,0.44250234887027634,0.6064304460379806
apex_theta,Spot-the-Word,0.035319681586190824,0.371613595101659,644,-0.029264072813922182,0.4595309478379395,0.6064304460379806
apex_theta,MMSE,0.020369938865180206,0.6064304460379806,644,0.016407225020423924,0.6784238519292586,0.6064304460379806
apex_alpha,ACE-R total,-0.09764187451991968,0.013247255163323347,645,-0.11026606683997192,0.0051582852303415595,0.04636539307163172
apex_alpha,verbal fluency,-0.0686551466199042,0.08193197302181154,645,-0.08226583586672376,0.03716928724212139,0.11470476223053615
apex_alpha,ACE-R memory,-0.05920578458634386,0.13369161611490632,645,-0.0687341751765704,0.08181833154669312,0.1559735521340574
apex_alpha,language,-0.07406421401826757,0.060517617672915545,645,-0.07917324405149971,0.04493005565225644,0.11470476223053615
apex_alpha,visuospatial,-0.05086394335746363,0.19770979784022907,645,-0.05789426136438984,0.14284481296424573,0.19770979784022907
apex_alpha,Spot-the-Word,-0.1686857746039932,1.7342998992098484e-05,644,-0.17871918071456283,5.296687489160256e-06,0.00012140099294468938
apex_alpha,MMSE,-0.06944985909262825,0.07868027184487841,644,-0.07057020091611307,0.0741909612504556,0.11470476223053615
apex_beta,ACE-R total,-0.04951439491659818,0.20988391637881904,645,-0.0564124451170814,0.15337412717400076,0.48972913821724445
apex_beta,verbal fluency,-0.073729054165552,0.06169431833094024,645,-0.08178326582169984,0.03829955030531064,0.21593011415829083
apex_beta,ACE-R memory,-0.018138165590890522,0.6461764509639537,645,-0.023289073790000232,0.5558465602590799,0.6461764509639537
apex_beta,language,-0.03947978936601951,0.31752911346390134,645,-0.042253153651157206,0.2850743568629011,0.5320447902593781
apex_beta,visuospatial,-0.01999563111843492,0.6127849490563346,645,-0.02383492958152862,0.5466208075260385,0.6461764509639537
apex_beta,Spot-the-Word,-0.10856300838522112,0.005895803941850465,644,-0.11404656123816548,0.0038373598721464703,0.04127062759295325
