cohort,band,dv_z,p_dv,ap_y,p_ap,pub_dv,sign_match
FULL,broadband,0.02245495284345527,0.9220155968806238,0.575635722723267,0.0013997200559888023,,
FULL,delta,-0.8342641516509477,0.0003999200159968006,-0.04300770629816436,0.9102179564087183,0.55,✗FLIPPED
FULL,theta,0.0479367371046069,0.8202359528094381,-0.5184238651491571,0.0009998000399920016,0.47,✓same-sign
FULL,alpha,-0.775613410083813,0.001999600079984003,0.38404721279508,0.31073785242951407,-0.65,✓same-sign
FULL,beta,-0.7754624716404476,0.002999400119976005,0.3639369621060132,0.3395320935812837,-0.77,✓same-sign
FULL,gamma,0.04158532240826504,0.8264347130573885,0.22030225188907426,0.14997000599880023,-0.73,✗FLIPPED
YOUNG<30,broadband,-0.5113856336602103,0.057388522295540895,0.5030144563403521,0.08838232353529295,,
YOUNG<30,delta,-0.8261335383346146,0.0001999600079984003,0.1593251832823955,0.6808638272345531,0.55,✗FLIPPED
YOUNG<30,theta,0.2748739054619091,0.02439512097580484,-0.22640860255376594,0.11517696460707859,0.47,✓same-sign
YOUNG<30,alpha,-0.7871994824967656,0.0033993201359728054,0.42668254176588605,0.26814637072585484,-0.65,✓same-sign
YOUNG<30,beta,-0.7646616541353383,0.00599880023995201,0.4485256782854892,0.2403519296140772,-0.77,✓same-sign
YOUNG<30,gamma,-0.4073211707573172,0.027594481103779243,0.208688616803855,0.3547290541891622,-0.73,✓same-sign
