band,parcel_idx,parcel_name,tau_mean,tau_median,tau_std,tau_count,rho_mean,rho_median,rho_std,tau_exp_r2_mean,rho_r2_mean,ts_var_mean
alpha,0,lh.17Networks_2-1,0.22248104342073627,0.22450894587018996,0.010880141684261005,267,0.42150750258093367,0.42570475321320894,0.031149474446924792,0.3274364767503438,0.9996664113132051,1.0
alpha,1,lh.17Networks_16-1,0.21891624713327434,0.22011325172635676,0.009886908550569512,267,0.4331378729628591,0.4365994871385583,0.027753500641318193,0.5811061114010707,0.9995394353343249,1.0
alpha,2,lh.17Networks_16-3,0.20685835915021325,0.2058514274615781,0.014288072976894862,267,0.43963417706303304,0.44507690481779283,0.021343014695492057,0.7567719222717331,0.999071059953743,1.0
alpha,3,lh.17Networks_16-5,0.2161381385896901,0.21654056244695793,0.01013111450308314,267,0.4262556593111718,0.42958572028663883,0.030996547115496344,0.6717437411489084,0.9995418494232227,1.0
alpha,4,lh.17Networks_16-7,0.2080647425621388,0.2084312629044922,0.014548994503433851,267,0.43705184707443245,0.4438235684638833,0.023911838120296288,0.7276959733519373,0.9990911541315,1.0
alpha,5,lh.FreeSurfer_Defined_Medial_Wall-1,0.21207033231310138,0.21232485712318544,0.010424946724992735,267,0.4388336957938506,0.44399789542804485,0.024716026167259875,0.7762146940526212,0.9993413393507279,1.0
alpha,6,lh.FreeSurfer_Defined_Medial_Wall-3,0.20677349006607493,0.20658584866464208,0.011679514533680546,267,0.4409379135944532,0.4446142220365653,0.01890603141634875,0.8297340480436368,0.9991476721196675,1.0
alpha,7,lh.17Networks_6-2,0.22316362357126437,0.22412729606561985,0.010831850923438746,267,0.42887750102669814,0.43113474267592833,0.028553977287452348,0.07029353327905549,0.9995861529773402,1.0
alpha,8,lh.17Networks_6-3,0.21466580419834042,0.2150721864008502,0.012318689082621195,267,0.4330947725943562,0.43614145715519753,0.024166291351609387,0.6065889613418802,0.9993158377639678,1.0
alpha,9,lh.17Networks_6-7,0.2144542400842438,0.21557751668705352,0.00979014348844828,267,0.43133394983805573,0.4372326534392932,0.029083907183663438,0.7524892959339052,0.9994844822563657,1.0
alpha,10,lh.17Networks_6-6,0.21187145958322148,0.21179365420980054,0.01326108222569582,267,0.43653794280882685,0.44044933096599725,0.025013125548420233,0.6428556811794625,0.9992284716200427,1.0
alpha,11,lh.17Networks_12-11,0.207483347454778,0.20793859532033282,0.01319614562654514,267,0.44259594459446844,0.448160429405536,0.020885062778390737,0.7928326565340329,0.9990704379759486,1.0
alpha,12,lh.17Networks_12-12,0.20886491770868135,0.2086950603020652,0.011494949916201175,267,0.44346314187660213,0.4468169484550669,0.021522196866855563,0.8106186932683853,0.9991805847071251,1.0
alpha,13,lh.17Networks_12-7,0.21001785610519821,0.21071303331690455,0.013144026491248786,267,0.43630525679031434,0.44155492586632905,0.023432759454922278,0.730024071524085,0.999161580211436,1.0
alpha,14,lh.17Networks_12-3,0.21947849811705206,0.21981474714288451,0.010285469835582347,267,0.4275395359869984,0.4283555689353977,0.029219252228926247,0.4484493756383103,0.9995559960044855,1.0
alpha,15,lh.17Networks_12-1,0.21166128913208482,0.2121502990526079,0.014022707791140144,267,0.4367357093413139,0.4420549256023336,0.022822708449330383,0.6223426034672501,0.9992177076632197,1.0
alpha,16,lh.17Networks_12-5,0.21477863075103906,0.21527702513292016,0.01001368133821908,267,0.4334563455455946,0.4386976280160768,0.02831688214798402,0.7400222220657262,0.9994705678192204,1.0
alpha,17,lh.17Networks_10-1,0.20679986642329917,0.20633166784769094,0.013348621343567192,267,0.44024974868000216,0.44409063793508796,0.02096789778125212,0.7989981976259253,0.9990923641818213,1.0
alpha,18,lh.17Networks_5-2,0.223077410099243,0.22469971134579053,0.01014495603824786,267,0.42581728275936026,0.4280682563505286,0.02980818708337904,0.23505138558744865,0.9996503406772037,1.0
alpha,19,lh.17Networks_13-4,0.21777691266636529,0.21820117066528466,0.010515757734670141,267,0.4277504520802869,0.4314089779886169,0.029407763287557082,0.5341567102251241,0.9995389079646991,1.0
alpha,20,lh.17Networks_13-5,0.2057218516483982,0.2056344342532662,0.013989398208152268,267,0.4387556388505531,0.44343353672109986,0.021644441253201075,0.80832209523585,0.999045563871847,1.0
alpha,21,lh.17Networks_13-8,0.21403966539724592,0.2148963810504694,0.010304152453644414,267,0.4339773920537716,0.4395307784657114,0.02799009143829548,0.7511104376057083,0.9994407944000604,1.0
