resolution,parcel_idx,rho,r2,label,hemi,network,x,y,z
400,0,0.5981080815022738,0.9999079902634979,7Networks_LH_Cont_Cing_1-lh,lh,Cont,-2.2256717918325517,3.6683418127521312,30.230103321564503
400,1,0.6026786545140911,0.9998856391484239,7Networks_LH_Cont_Cing_2-lh,lh,Cont,-3.1809476000639414,-21.007527719394798,29.78528140953138
400,2,0.605668207142482,0.9999001812591969,7Networks_LH_Cont_OFC_1-lh,lh,Cont,-27.72670631495984,46.75480225866392,-14.109120785780847
400,3,0.6071040987495276,0.9998957688675848,7Networks_LH_Cont_PFCl_1-lh,lh,Cont,-42.23302016870068,46.22517440858052,-4.52016727584215
400,4,0.6056887657629545,0.9998889223255686,7Networks_LH_Cont_PFCl_2-lh,lh,Cont,-45.096832626477806,32.46106359431174,10.39753443662044
400,5,0.6050124728854904,0.9998952644959396,7Networks_LH_Cont_PFCl_3-lh,lh,Cont,-39.34782922495966,46.15311339668606,11.77650232563848
400,6,0.6034817611893579,0.9999020081450867,7Networks_LH_Cont_PFCl_4-lh,lh,Cont,-28.39669974502809,50.5418346111591,12.993818799157047
400,7,0.6048155423728888,0.9998887177107527,7Networks_LH_Cont_PFCl_5-lh,lh,Cont,-42.35231753906917,35.688901406168284,20.877683296881088
400,8,0.6031580306811845,0.999893507811134,7Networks_LH_Cont_PFCl_6-lh,lh,Cont,-42.86352279989477,21.123559542518247,25.78900273088465
400,9,0.5995934292107047,0.9999037212566153,7Networks_LH_Cont_PFCl_7-lh,lh,Cont,-37.14715568504142,6.909435672052142,31.01085873065482
400,10,0.6039878813398414,0.9998908513657301,7Networks_LH_Cont_PFCl_8-lh,lh,Cont,-37.89648876758601,31.07452515734742,36.07220465300099
400,11,0.599851015836277,0.9999062196037518,7Networks_LH_Cont_PFCmp_1-lh,lh,Cont,-4.862709725057924,25.65371003708282,45.29731506991696
400,12,0.6082554716643092,0.999891746147035,7Networks_LH_Cont_PFCv_1-lh,lh,Cont,-33.10543285536419,18.18721230956968,-9.939000995639953
400,13,0.5974134705606778,0.9999137094525332,7Networks_LH_Cont_Par_1-lh,lh,Cont,-28.972550839407567,-72.08451705061768,36.627593393065496
400,14,0.6039813931952268,0.9998844799930682,7Networks_LH_Cont_Par_2-lh,lh,Cont,-57.43772529241607,-45.16406984404316,42.6297962684331
400,15,0.6025700910062552,0.9998883024559909,7Networks_LH_Cont_Par_3-lh,lh,Cont,-51.70714798822522,-53.06946920254301,39.308137758384994
400,16,0.5954597521460302,0.9999251084144035,7Networks_LH_Cont_Par_4-lh,lh,Cont,-33.01249050057453,-60.82633115703933,41.58812086132989
400,17,0.598877103109185,0.9999052993677096,7Networks_LH_Cont_Par_5-lh,lh,Cont,-41.75459424227369,-54.409667524385625,40.20693772838962
400,18,0.5984395715386096,0.9999083913460569,7Networks_LH_Cont_Par_6-lh,lh,Cont,-44.24843875250716,-44.61400144608295,42.80799689728426
400,19,0.6072885084325826,0.9998687296970025,7Networks_LH_Cont_Temp_1-lh,lh,Cont,-60.02472139294152,-49.59256503171226,-10.852849359675368
400,20,0.5965605522463121,0.9999129010365413,7Networks_LH_Cont_pCun_1-lh,lh,Cont,-10.760401704632644,-75.83670678375461,43.22303682016143
400,21,0.5964523797819338,0.9999187308507401,7Networks_LH_Cont_pCun_2-lh,lh,Cont,-7.017724206677307,-60.92232099007134,51.415970837159016
400,22,0.6032859039623596,0.9999027292155438,7Networks_LH_Default_PFC_1-lh,lh,Default,-35.41555273520814,22.084490812704704,-15.082578042399652
400,23,0.6071197979249136,0.9998805993497105,7Networks_LH_Default_PFC_10-lh,lh,Default,-53.244488806094765,19.86821067858042,10.648061996735867
400,24,0.6066186675600239,0.9998875163227625,7Networks_LH_Default_PFC_11-lh,lh,Default,-16.652498448100907,64.12688667021891,10.012552964724776
400,25,0.5976946682433601,0.9999174227881233,7Networks_LH_Default_PFC_12-lh,lh,Default,-5.448136830848746,30.143438312911176,21.237053693985988
400,26,0.6014132253034319,0.9999001935424037,7Networks_LH_Default_PFC_13-lh,lh,Default,-5.358658399160932,49.0758804926848,27.355037936937627
400,27,0.6042086314065948,0.9998896834151756,7Networks_LH_Default_PFC_14-lh,lh,Default,-16.577720333903617,54.36081275852045,30.122063154449112
400,28,0.6032596938360228,0.9998973207918577,7Networks_LH_Default_PFC_15-lh,lh,Default,-24.65000903312796,44.89307394795034,28.692124938338456
400,29,0.6021748456780031,0.9999000103522457,7Networks_LH_Default_PFC_16-lh,lh,Default,-26.229546386109305,26.803473117083488,38.6378469975037
400,30,0.6025193146804209,0.9998920073055279,7Networks_LH_Default_PFC_17-lh,lh,Default,-41.33548079856023,18.13569087818757,45.765911541195216
400,31,0.6029793057689644,0.999888993912419,7Networks_LH_Default_PFC_18-lh,lh,Default,-9.74775480605409,42.90992183266523,48.448833176237855
400,32,0.6009538345686372,0.9999016248469531,7Networks_LH_Default_PFC_19-lh,lh,Default,-20.882703936010376,34.39732618116795,42.4120461313348
400,33,0.6069963480784957,0.9998940655085603,7Networks_LH_Default_PFC_2-lh,lh,Default,-34.73836611879283,36.41457536713831,-13.202855249931073
400,34,0.6011194745357054,0.9998955493893659,7Networks_LH_Default_PFC_20-lh,lh,Default,-42.85162354774601,4.787632482870184,45.78667462540932
400,35,0.6011236774814549,0.9998985284661253,7Networks_LH_Default_PFC_21-lh,lh,Default,-32.034395758731605,13.224192363553328,52.6139647658696
400,36,0.6009512487572188,0.9999055288317993,7Networks_LH_Default_PFC_22-lh,lh,Default,-25.162960916195274,17.890900521908165,47.82930414931579
400,37,0.6016088893380891,0.9998946903746899,7Networks_LH_Default_PFC_23-lh,lh,Default,-13.077377486804217,25.037361837903557,58.38545190233328
400,38,0.6008274641130351,0.9998963656216581,7Networks_LH_Default_PFC_24-lh,lh,Default,-7.39856478587175,10.489577521097202,63.66846887148344
400,39,0.6058637180505185,0.9998981649830592,7Networks_LH_Default_PFC_3-lh,lh,Default,-4.724587174592722,52.44956600132273,-9.9265980175121
400,40,0.6021803124127245,0.9999169491268366,7Networks_LH_Default_PFC_4-lh,lh,Default,-5.289522376148108,34.716976993096935,-8.594936791273296
400,41,0.6061153226077757,0.9998943647905115,7Networks_LH_Default_PFC_5-lh,lh,Default,-46.50230795114152,33.41523071644838,-10.048385246944758
400,42,0.6057645201330605,0.9998975232993561,7Networks_LH_Default_PFC_6-lh,lh,Default,-28.767925863574675,53.433223522907625,0.9124134181494138
400,43,0.605646729857956,0.9998887433922271,7Networks_LH_Default_PFC_7-lh,lh,Default,-46.10304853360947,27.4919744831242,1.4340034216095388
400,44,0.6051047094449497,0.9998943451453256,7Networks_LH_Default_PFC_8-lh,lh,Default,-7.544467431338713,54.49682205118597,7.529713835653562
400,45,0.6005341385391456,0.9999113629485071,7Networks_LH_Default_PFC_9-lh,lh,Default,-6.932250439334702,41.64669330303486,7.384135745438122
400,46,0.6034692699305457,0.9998842096966792,7Networks_LH_Default_Par_1-lh,lh,Default,-57.383010887272576,-49.72522937550264,12.918316185204691
400,47,0.5970570180844899,0.9999088609846926,7Networks_LH_Default_Par_2-lh,lh,Default,-42.824573299427726,-57.85325620582066,17.128322882973468
400,48,0.6016584923439369,0.9998872445269728,7Networks_LH_Default_Par_3-lh,lh,Default,-42.61979447022183,-75.7570265501533,24.6785933005728
400,49,0.6008935068715313,0.9998971021594973,7Networks_LH_Default_Par_4-lh,lh,Default,-42.58179975369058,-63.030436059429306,27.821308761277734
400,50,0.6026084813830377,0.999887430057972,7Networks_LH_Default_Par_5-lh,lh,Default,-54.131188492661074,-55.54472807411835,25.30252821497457
400,51,0.6009825440622292,0.9998930681169217,7Networks_LH_Default_Par_6-lh,lh,Default,-39.05635863200874,-73.46306570016654,40.98188612567392
400,52,0.6022553511306019,0.9998908444040309,7Networks_LH_Default_Par_7-lh,lh,Default,-47.452882282069474,-63.57486788952937,41.60346452525405
400,53,0.6087834254126924,0.9998815429674645,7Networks_LH_Default_Temp_1-lh,lh,Default,-55.9116706111005,-7.6435819522878115,-27.64751808117361
400,54,0.6037135635502077,0.9998863482740548,7Networks_LH_Default_Temp_10-lh,lh,Default,-52.29275311985409,-44.45777504342105,3.683274732517424
400,55,0.6083420279432238,0.9998726721686254,7Networks_LH_Default_Temp_2-lh,lh,Default,-61.790484664840825,-23.343264159267637,-21.159731723702887
400,56,0.6095100462773009,0.999869585434882,7Networks_LH_Default_Temp_3-lh,lh,Default,-58.37601721091349,-38.36302311433469,-20.80113221778244
400,57,0.6073456230016082,0.9998762546020519,7Networks_LH_Default_Temp_4-lh,lh,Default,-56.184116394907726,-16.283339937164754,-14.49555316398523
