parcel_idx,label,hemi,x,y,z,rho_mean,rho_std,coverage,n_subjects
0,7Networks_LH_Cont_Cing_1-lh,lh,-2.2256717918325517,3.6683418127521312,30.230103321564503,0.14626244896427054,0.04031003942711451,1.0,1096
1,7Networks_LH_Cont_Cing_2-lh,lh,-3.1809476000639414,-21.007527719394798,29.78528140953138,0.14675743967904173,0.03987090453066026,1.0,1096
2,7Networks_LH_Cont_OFC_1-lh,lh,-27.72670631495984,46.75480225866392,-14.109120785780847,0.14467245547446964,0.03949863098411833,1.0,1096
3,7Networks_LH_Cont_PFCl_1-lh,lh,-42.23302016870068,46.22517440858052,-4.52016727584215,0.1494355122097158,0.03858758396292473,1.0,1096
4,7Networks_LH_Cont_PFCl_2-lh,lh,-45.096832626477806,32.46106359431174,10.39753443662044,0.1476546591191531,0.03762859428915237,1.0,1096
5,7Networks_LH_Cont_PFCl_3-lh,lh,-39.34782922495966,46.15311339668606,11.77650232563848,0.14516709433606573,0.038865905547675744,1.0,1096
6,7Networks_LH_Cont_PFCl_4-lh,lh,-28.39669974502809,50.5418346111591,12.993818799157047,0.15163934943796128,0.0403889729142322,1.0,1096
7,7Networks_LH_Cont_PFCl_5-lh,lh,-42.35231753906917,35.688901406168284,20.877683296881088,0.14401844271091715,0.03895418687983423,1.0,1096
8,7Networks_LH_Cont_PFCl_6-lh,lh,-42.86352279989477,21.123559542518247,25.78900273088465,0.14539896570218588,0.03914542415015636,1.0,1096
9,7Networks_LH_Cont_PFCl_7-lh,lh,-37.14715568504142,6.909435672052142,31.01085873065482,0.14642149124467563,0.038801909172181986,1.0,1096
10,7Networks_LH_Cont_PFCl_8-lh,lh,-37.89648876758601,31.07452515734742,36.07220465300099,0.14705648318602826,0.03885614167751944,1.0,1096
11,7Networks_LH_Cont_PFCmp_1-lh,lh,-4.862709725057924,25.65371003708282,45.29731506991696,0.14167241982182643,0.03932795019294873,1.0,1096
12,7Networks_LH_Cont_PFCv_1-lh,lh,-33.10543285536419,18.18721230956968,-9.939000995639953,0.15626873661745935,0.04164157158284866,1.0,1096
13,7Networks_LH_Cont_Par_1-lh,lh,-28.972550839407567,-72.08451705061768,36.627593393065496,0.14448614291947448,0.038230241258119455,1.0,1096
14,7Networks_LH_Cont_Par_2-lh,lh,-57.43772529241607,-45.16406984404316,42.6297962684331,0.1490545137778148,0.03769845616998193,1.0,1096
