measure,comparison,r,p_spin
tau_fmri,DV (z),0.31319007387665937,9.999000099990002e-05
tau_fmri,MEG ρ,0.042242307088862154,0.39586041395860416
spectral_exp,DV (z),0.2879187170303131,9.999000099990002e-05
spectral_exp,MEG ρ,0.04870754091329568,0.32766723327667235
alff,DV (z),0.17929722847873267,9.999000099990002e-05
alff,MEG ρ,0.038447411580242924,0.4510548945105489
falff,DV (z),0.3349925131420327,9.999000099990002e-05
falff,MEG ρ,0.0163073435258969,0.7475252474752525
rho_fmri,DV (z),-0.3509906277302262,9.999000099990002e-05
rho_fmri,MEG ρ,-0.02821246410486419,0.5753424657534246
