parcel_idx,label,hemi,tau_mean,rho_mean,tau_r2_mean,rho_r2_mean,x,y,z,tau_resid,rho_resid
0,7Networks_LH_Cont_Cing_1-lh,lh,0.015678678041314443,0.5982867883445588,0.8292178450393783,0.9999096327526472,-2.225671791832552,3.6683418127521312,30.230103321564503,0.0002232217687042036,-0.002949651178369539
1,7Networks_LH_Cont_Cing_2-lh,lh,0.008550633124803175,0.6035615371723465,0.8469398696181061,0.9998860160033125,-3.1809476000639414,-21.0075277193948,29.78528140953138,-0.0050672151816791265,0.0027085041282384203
2,7Networks_LH_Cont_OFC_1-lh,lh,0.028669318185917714,0.6066156504246984,0.5138229723608084,0.9999022828507114,-27.72670631495984,46.75480225866392,-14.109120785780847,0.006918769999529856,-0.0004977597903679243
3,7Networks_LH_Cont_PFCl_1-lh,lh,0.024460837284638555,0.6052493470331702,0.5501787279530473,0.9998963828675633,-42.23302016870068,46.22517440858052,-4.52016727584215,0.003682857213238664,-0.0008368735112338488
4,7Networks_LH_Cont_PFCl_2-lh,lh,0.012435744991254686,0.6054295636083408,0.7785053801824607,0.999888285349841,-45.096832626477806,32.46106359431174,10.39753443662044,-0.006123311266621622,0.0012574064874101287
5,7Networks_LH_Cont_PFCl_3-lh,lh,0.015519839016526989,0.6048223279363323,0.734062867304497,0.999896975350484,-39.34782922495966,46.15311339668606,11.77650232563848,-0.004043307911477688,0.0005880190804679053
6,7Networks_LH_Cont_PFCl_4-lh,lh,0.02124363175159323,0.6031966555596393,0.6742313462313747,0.9999056883218927,-28.39669974502809,50.5418346111591,12.993818799157047,0.001293792467274582,-0.0009301571080447824
7,7Networks_LH_Cont_PFCl_5-lh,lh,0.01091390361272445,0.6045789674225198,0.8226360157382692,0.9998902968464036,-42.35231753906917,35.688901406168284,20.877683296881088,-0.007122661732690536,0.001543563466254727
8,7Networks_LH_Cont_PFCl_6-lh,lh,0.011361833844407232,0.6033543298051678,0.8212783561335593,0.9998953987833078,-42.86352279989477,21.123559542518247,25.78900273088465,-0.0051943117402274645,0.0011289896892467954
9,7Networks_LH_Cont_PFCl_7-lh,lh,0.012682535796294641,0.6000949201705175,0.8349998614926359,0.9999064121728696,-37.14715568504142,6.909435672052142,31.01085873065482,-0.002480808538927218,-0.0012642316185187408
10,7Networks_LH_Cont_PFCl_8-lh,lh,0.0103395931389308,0.6037306951365612,0.8483554878679808,0.9998941173653664,-37.89648876758601,31.07452515734742,36.07220465300099,-0.00624587987366663,0.0025103776736989936
11,7Networks_LH_Cont_PFCmp_1-lh,lh,0.01394969147378664,0.5992868487500161,0.8614373581370903,0.9999102601019894,-4.862709725057924,25.65371003708282,45.29731506991696,-0.0019712370560266233,-0.0006518905257585361
12,7Networks_LH_Cont_PFCv_1-lh,lh,0.024583935422315,0.6089320622552924,0.5305855380592857,0.9998929505650169,-33.10543285536419,18.18721230956968,-9.939000995639953,0.005378107503092509,0.0027721682695653893
13,7Networks_LH_Cont_Par_1-lh,lh,0.013329059852215231,0.5974936890336263,0.7814467303466048,0.9999139068168919,-28.972550839407567,-72.08451705061768,36.627593393065496,0.004434651372128378,-0.0017947111757223855
