parcel_idx,label,hemi,network,tau_mean,tau_median,tau_std,rho_mean,rho_median,rho_std,tau_exp_r2_mean,rho_r2_mean,ts_var_mean,ts_rms_mean,n_subjects,x,y,z,alpha_rel,beta_rel,gamma_rel,spectral_slope
0,7Networks_LH_Cont_Cing_1-lh,lh,Cont,0.0154243333606416,0.0146292044385945,0.0077639812258214,0.5981998599204402,0.5984781554229253,0.0076190931582486,0.8296051617394404,0.9999078936691324,1.0,1.0,208,-2.225671791832552,3.6683418127521312,30.230103321564503,0.15498527204074716,0.3393013832984576,0.147844585518254,0.5157470237903895
1,7Networks_LH_Cont_Cing_2-lh,lh,Cont,0.0086409530260008,0.0075920867934764,0.0049771710144326,0.6027022816976354,0.6026861541233216,0.0043616465484227,0.8478526078795242,0.9998856034706728,1.0,1.0,208,-3.1809476000639414,-21.0075277193948,29.78528140953138,0.16051075480479493,0.3800745285565664,0.1928123424260588,0.30356126357942737
2,7Networks_LH_Cont_OFC_1-lh,lh,Cont,0.0274244680942244,0.0252489791818656,0.0122811638069475,0.605687494754373,0.6049957519673862,0.0094884338475486,0.5281208164361406,0.9999002323698476,1.0,1.0,208,-27.72670631495984,46.75480225866392,-14.109120785780847,0.11228250208166647,0.33174162887738945,0.18003071944621674,0.4296612716550478
3,7Networks_LH_Cont_PFCl_1-lh,lh,Cont,0.0242315467900987,0.0215496843022713,0.0127932947502597,0.6068710821098281,0.6060001844673742,0.0112594118717404,0.5612981558337642,0.9998957824541146,1.0,1.0,208,-42.23302016870068,46.22517440858052,-4.52016727584215,0.11759775243789981,0.34012675716406926,0.18424088659867507,0.40941143580799344
4,7Networks_LH_Cont_PFCl_2-lh,lh,Cont,0.0136299944663949,0.0115759928189055,0.0095695697648146,0.6053675334099895,0.6053366518536738,0.007251405848227,0.755115761011129,0.999889071183945,1.0,1.0,208,-45.096832626477806,32.46106359431174,10.39753443662044,0.13468806968644714,0.37914852436686003,0.19140544166836818,0.3020650340023136
5,7Networks_LH_Cont_PFCl_3-lh,lh,Cont,0.0153130122813318,0.0135440940858028,0.0091935660210213,0.6049710922821451,0.605129794216557,0.0070997437405563,0.7330749971970636,0.999895365477412,1.0,1.0,208,-39.34782922495966,46.15311339668606,11.77650232563848,0.13479886303969213,0.3699910740273436,0.1809433439468179,0.34539850351650153
6,7Networks_LH_Cont_PFCl_4-lh,lh,Cont,0.0192320670696106,0.0182466578006341,0.0096271256082859,0.6034609502543485,0.6039931840543687,0.0057719838796767,0.6844557234437232,0.9999020914407892,1.0,1.0,208,-28.39669974502809,50.5418346111591,12.993818799157047,0.13196266724509692,0.35429757983425675,0.16969363334082846,0.409661454785147
7,7Networks_LH_Cont_PFCl_5-lh,lh,Cont,0.0109333384074032,0.0094797888956114,0.0083698168800919,0.6048119499286921,0.6053189985516121,0.0051337686124437,0.8200286185192484,0.9998888507069884,1.0,1.0,208,-42.35231753906917,35.688901406168284,20.877683296881088,0.13488679168119116,0.3869592673386173,0.19028646737430208,0.29083538781003304
8,7Networks_LH_Cont_PFCl_6-lh,lh,Cont,0.0110562788735436,0.0095677305917729,0.0086726224658951,0.6031684923917427,0.6037035309487526,0.0059552307705437,0.8336060015026672,0.9998937246840768,1.0,1.0,208,-42.86352279989477,21.123559542518247,25.78900273088465,0.14068448597922875,0.37943501596828705,0.17840309363096846,0.34100054614502945
9,7Networks_LH_Cont_PFCl_7-lh,lh,Cont,0.0122731768300471,0.0108118013491775,0.0089282825488839,0.5995912690863087,0.600399009115864,0.007066796698596,0.8428002690374901,0.9999040807887114,1.0,1.0,208,-37.14715568504142,6.909435672052142,31.01085873065482,0.15473156463044527,0.36270937496416655,0.15414877152861162,0.4372398952754342
10,7Networks_LH_Cont_PFCl_8-lh,lh,Cont,0.0101395036496971,0.0079383711968686,0.009439952592876,0.6039861539080724,0.6045666927300362,0.0058386969305528,0.8482875371416159,0.9998910341747798,1.0,1.0,208,-37.89648876758601,31.07452515734742,36.07220465300099,0.1337453622543785,0.3887994947302796,0.18557049273086482,0.3053228727048783
11,7Networks_LH_Cont_PFCmp_1-lh,lh,Cont,0.0137022457767506,0.0119444908495668,0.0086461870151242,0.5999471719651595,0.6000429287150248,0.0086083136865328,0.8539244863710491,0.9999061930073622,1.0,1.0,208,-4.862709725057924,25.65371003708282,45.29731506991696,0.13395513257012615,0.3454795799559396,0.15363330153258553,0.5132213264659361
12,7Networks_LH_Cont_PFCv_1-lh,lh,Cont,0.0238319507268847,0.020945612755268,0.0141542147536586,0.6083046822337397,0.6061403123736204,0.0136213240158783,0.565833579710601,0.9998917426669808,1.0,1.0,208,-33.10543285536419,18.18721230956968,-9.939000995639953,0.11803392260666623,0.34718298836395045,0.19339687305091133,0.3629438432705001
13,7Networks_LH_Cont_Par_1-lh,lh,Cont,0.0138019240023286,0.0126941043126904,0.0076063171009116,0.5974256384126817,0.5976307882024177,0.0088719367756208,0.7743683516102791,0.9999136602046436,1.0,1.0,208,-28.972550839407567,-72.08451705061768,36.627593393065496,0.2433086483764448,0.3385825878285973,0.1334191897975355,0.4882835184127929
14,7Networks_LH_Cont_Par_2-lh,lh,Cont,0.0084626888845228,0.0065427814639124,0.0082529947184442,0.6040442961597899,0.6052326591711072,0.0065943318762482,0.869034231813992,0.999884324444634,1.0,1.0,208,-57.43772529241607,-45.16406984404316,42.6297962684331,0.15371033899535466,0.3928325966907684,0.19716793078668002,0.26369178046751274
15,7Networks_LH_Cont_Par_3-lh,lh,Cont,0.0092004666807631,0.0071405910274478,0.0087304019763806,0.6026394422382874,0.6040574780011578,0.0068971316457948,0.8622388726660385,0.9998881306378772,1.0,1.0,208,-51.70714798822522,-53.06946920254301,39.308137758384994,0.16311108264293359,0.3837941548203957,0.18769383140450505,0.3032026199726717
16,7Networks_LH_Cont_Par_4-lh,lh,Cont,0.0167084527308564,0.0159177682535806,0.0074109510633645,0.5955357677356493,0.595643719656079,0.0084003268362461,0.7682795377976408,0.9999248541054264,1.0,1.0,208,-33.01249050057453,-60.82633115703933,41.58812086132989,0.24842185396497005,0.3219805788101622,0.11270632425898416,0.5822420118154059
17,7Networks_LH_Cont_Par_5-lh,lh,Cont,0.0125062424044076,0.0110506092555197,0.0083887114942423,0.5989937873667041,0.6001802236167195,0.0077240458888064,0.8347241235250581,0.999905031789622,1.0,1.0,208,-41.75459424227369,-54.409667524385625,40.20693772838962,0.19530360046458206,0.3530565306623772,0.1501822606749446,0.4519177529106061
18,7Networks_LH_Cont_Par_6-lh,lh,Cont,0.0130075047363515,0.0118556239107898,0.0080752013644719,0.59852207554244,0.5992960787374672,0.0078864172667053,0.8296089899404571,0.9999081819344366,1.0,1.0,208,-44.24843875250716,-44.61400144608295,42.80799689728426,0.19200384826017122,0.35503822988737643,0.14448882502462987,0.4551055612219362
19,7Networks_LH_Cont_Temp_1-lh,lh,Cont,0.0065067307124557,0.0050409094633959,0.0074653603066009,0.6072806235765964,0.6077545757906027,0.0047128013737444,0.8713941000842806,0.9998687713665309,1.0,1.0,208,-60.02472139294152,-49.59256503171226,-10.852849359675368,0.13551439227253192,0.41427613882062325,0.23355817517291655,0.12727541474085083
