subject,occipital_tau,occipital_n,temporal_tau,temporal_n,parietal_tau,parietal_n,central_tau,central_n,frontal_tau,frontal_n,mean_tau
2002,84.12063984659363,40,65.97221990001051,67,80.32288901898973,43,36.357508754167455,52,71.03148216421657,68,67.56094793679559
2003,14.02512588332896,40,47.88495208150101,68,15.00335238133491,45,16.079463419852992,52,48.80433054601711,68,28.359444862406995
2004,22.202876906418915,40,43.04601414680528,68,21.4196453831668,45,24.40801893910821,52,37.264364781869126,68,29.668184031473665
2005,53.32884525373838,40,65.3001823399493,68,66.04611082579517,45,22.55331949210611,52,65.28343208006504,68,54.5023779983308
2006,22.843801316518984,40,44.61600284477599,68,22.23110934066349,45,20.673406974680276,52,47.773570761486845,68,31.62757824762512
2007,139.17114933899427,32,88.13107063699458,62,115.30362684016895,29,29.146572760005395,52,72.93722580723568,68,88.93792907667977
2008,38.0772222082129,40,61.02630188523831,68,25.859231635057178,45,19.36537264170791,52,66.69635182551977,68,42.204896039147215
2009,16.051186190248625,40,22.064009626483795,68,30.82323664920896,45,27.556280955295435,52,20.004513959524672,68,23.2998454761523
2010,22.0095132585707,40,70.04743034341035,68,22.42259082720029,45,38.55343968035479,52,98.70773944103193,68,50.348142710113606
2011,24.61379926918789,40,84.47802349397264,68,37.204468486487336,45,61.738915992757455,52,110.67837377080404,68,63.74271620264187
2013,27.798959303386226,40,47.98496089351683,68,32.4671799246341,45,24.25513613451185,52,60.01909524672368,68,38.50506630055453
2014,50.2756845625293,41,61.649992684572084,67,40.86622933769518,45,18.141489203304054,52,45.703098741913955,68,43.327298906002916
2015,72.65099474509252,40,50.00800086594141,68,43.12422002881974,45,11.375609057809745,52,30.105566632714314,68,41.45287826607555
2016,15.785345793959738,40,39.75263640395873,68,21.29597217650277,45,26.495208151505043,52,40.488913961863226,68,28.7636152975579
2017,12.505489924845824,40,83.96101556592671,68,15.384985918585294,45,39.02181836652481,52,103.16039055957809,68,50.80674006709215
2019,14.836165008916012,40,56.131815723370195,68,16.85083107029306,45,23.655932771198998,52,70.29166648474117,68,36.353282211703885
2020,32.457524490962946,40,41.84598456242069,68,75.82717269640166,32,25.59306962805643,43,40.72387601525945,68,43.289525478620234
2021,47.308247800445066,40,36.42599853204355,68,112.85523466041953,45,63.970243903948436,52,23.84452094497892,68,56.88084916836709
2024,111.33867789478293,39,54.859850816659964,68,128.59986788731098,42,24.544313149757727,52,34.09413140132443,68,70.6873682299672
2025,20.608548332029017,39,15.212438104385726,68,30.610540411525506,45,10.798091749371869,52,16.98612509716512,68,18.843148738895444
2027,50.93719759497457,35,71.8203604071793,67,94.2564103109495,39,72.35563301385552,51,77.44586495239184,68,73.36309325587015
2028,19.745719583508315,40,60.84579874037837,68,21.4651730133399,45,20.41661730431808,52,58.188141804186,68,36.13229008914614
2029,12.558032855733781,40,31.54058068614842,68,15.964596067923937,45,16.657794811299997,52,52.233213980072094,68,25.790843680235646
2030,15.847778915937443,40,39.66526236814501,68,19.81295933470509,45,13.748153009615844,52,57.67159306797849,68,29.349149339276373
2031,39.49878196349569,37,41.12289531808901,67,98.13793792305202,34,20.054847590254585,42,35.22169898290533,68,46.80723235555932
