parcel_idx,label,hemi,network,tau_mean,tau_median,tau_std,rho_mean,rho_median,rho_std,tau_exp_r2_mean,rho_r2_mean,ts_var_mean,ts_rms_mean,n_subjects,x,y,z
0,7Networks_LH_Cont_Cing_1-lh,lh,Cont,0.01542433336064166,0.01462920443859455,0.007763981225821422,0.5981998599204402,0.5984781554229253,0.007619093158248673,0.8296051617394404,0.9999078936691325,1.0,1.0,208,-2.225671791832552,3.6683418127521312,30.230103321564503
1,7Networks_LH_Cont_Cing_2-lh,lh,Cont,0.00864095302600088,0.00759208679347645,0.004977171014432629,0.6027022816976354,0.6026861541233216,0.004361646548422767,0.8478526078795242,0.9998856034706729,1.0,1.0,208,-3.1809476000639414,-21.0075277193948,29.78528140953138
2,7Networks_LH_Cont_OFC_1-lh,lh,Cont,0.027424468094224403,0.0252489791818656,0.01228116380694757,0.605687494754373,0.6049957519673862,0.009488433847548643,0.5281208164361406,0.9999002323698475,1.0,1.0,208,-27.72670631495984,46.75480225866392,-14.109120785780847
3,7Networks_LH_Cont_PFCl_1-lh,lh,Cont,0.024231546790098778,0.02154968430227135,0.012793294750259749,0.6068710821098281,0.6060001844673742,0.011259411871740467,0.5612981558337642,0.9998957824541146,1.0,1.0,208,-42.23302016870068,46.22517440858052,-4.52016727584215
4,7Networks_LH_Cont_PFCl_2-lh,lh,Cont,0.013629994466394974,0.0115759928189055,0.009569569764814623,0.6053675334099895,0.6053366518536738,0.007251405848227011,0.755115761011129,0.999889071183945,1.0,1.0,208,-45.096832626477806,32.46106359431174,10.39753443662044
5,7Networks_LH_Cont_PFCl_3-lh,lh,Cont,0.01531301228133183,0.01354409408580285,0.009193566021021336,0.6049710922821451,0.605129794216557,0.007099743740556397,0.7330749971970636,0.9998953654774121,1.0,1.0,208,-39.34782922495966,46.15311339668606,11.77650232563848
6,7Networks_LH_Cont_PFCl_4-lh,lh,Cont,0.019232067069610663,0.018246657800634197,0.009627125608285917,0.6034609502543485,0.6039931840543687,0.005771983879676758,0.6844557234437232,0.9999020914407892,1.0,1.0,208,-28.39669974502809,50.5418346111591,12.993818799157047
7,7Networks_LH_Cont_PFCl_5-lh,lh,Cont,0.010933338407403284,0.009479788895611449,0.00836981688009195,0.6048119499286921,0.6053189985516121,0.005133768612443795,0.8200286185192484,0.9998888507069883,1.0,1.0,208,-42.35231753906917,35.688901406168284,20.877683296881088
8,7Networks_LH_Cont_PFCl_6-lh,lh,Cont,0.011056278873543678,0.009567730591772999,0.008672622465895162,0.6031684923917427,0.6037035309487526,0.005955230770543719,0.8336060015026672,0.9998937246840767,1.0,1.0,208,-42.86352279989477,21.123559542518247,25.78900273088465
9,7Networks_LH_Cont_PFCl_7-lh,lh,Cont,0.012273176830047182,0.0108118013491775,0.008928282548883941,0.5995912690863087,0.600399009115864,0.007066796698596058,0.8428002690374901,0.9999040807887114,1.0,1.0,208,-37.14715568504142,6.909435672052142,31.01085873065482
10,7Networks_LH_Cont_PFCl_8-lh,lh,Cont,0.010139503649697153,0.007938371196868601,0.009439952592876012,0.6039861539080724,0.6045666927300362,0.005838696930552886,0.8482875371416159,0.9998910341747798,1.0,1.0,208,-37.89648876758601,31.07452515734742,36.07220465300099
11,7Networks_LH_Cont_PFCmp_1-lh,lh,Cont,0.013702245776750669,0.01194449084956685,0.008646187015124237,0.5999471719651595,0.6000429287150248,0.008608313686532802,0.8539244863710491,0.9999061930073622,1.0,1.0,208,-4.862709725057924,25.65371003708282,45.29731506991696
12,7Networks_LH_Cont_PFCv_1-lh,lh,Cont,0.023831950726884703,0.020945612755268,0.014154214753658642,0.6083046822337397,0.6061403123736204,0.013621324015878386,0.565833579710601,0.9998917426669809,1.0,1.0,208,-33.10543285536419,18.18721230956968,-9.939000995639953
13,7Networks_LH_Cont_Par_1-lh,lh,Cont,0.01380192400232866,0.012694104312690451,0.007606317100911653,0.5974256384126817,0.5976307882024177,0.008871936775620844,0.7743683516102791,0.9999136602046436,1.0,1.0,208,-28.972550839407567,-72.08451705061768,36.627593393065496
14,7Networks_LH_Cont_Par_2-lh,lh,Cont,0.00846268888452281,0.00654278146391245,0.008252994718444207,0.6040442961597899,0.6052326591711072,0.006594331876248282,0.869034231813992,0.9998843244446339,1.0,1.0,208,-57.43772529241607,-45.16406984404316,42.6297962684331
15,7Networks_LH_Cont_Par_3-lh,lh,Cont,0.009200466680763143,0.0071405910274478,0.00873040197638068,0.6026394422382874,0.6040574780011578,0.0068971316457948195,0.8622388726660385,0.9998881306378771,1.0,1.0,208,-51.70714798822522,-53.06946920254301,39.308137758384994
16,7Networks_LH_Cont_Par_4-lh,lh,Cont,0.016708452730856437,0.01591776825358065,0.007410951063364584,0.5955357677356493,0.595643719656079,0.008400326836246171,0.7682795377976408,0.9999248541054265,1.0,1.0,208,-33.01249050057453,-60.82633115703933,41.58812086132989
17,7Networks_LH_Cont_Par_5-lh,lh,Cont,0.012506242404407676,0.01105060925551975,0.00838871149424237,0.5989937873667041,0.6001802236167195,0.00772404588880644,0.8347241235250581,0.9999050317896221,1.0,1.0,208,-41.75459424227369,-54.409667524385625,40.20693772838962
18,7Networks_LH_Cont_Par_6-lh,lh,Cont,0.013007504736351537,0.011855623910789849,0.008075201364471924,0.59852207554244,0.5992960787374672,0.007886417266705316,0.8296089899404571,0.9999081819344366,1.0,1.0,208,-44.24843875250716,-44.61400144608295,42.80799689728426
19,7Networks_LH_Cont_Temp_1-lh,lh,Cont,0.006506730712455768,0.00504090946339595,0.007465360306600924,0.6072806235765964,0.6077545757906027,0.004712801373744462,0.8713941000842806,0.9998687713665307,1.0,1.0,208,-60.02472139294152,-49.59256503171226,-10.852849359675368
20,7Networks_LH_Cont_pCun_1-lh,lh,Cont,0.013998439115373641,0.0125084703613941,0.007744704322756208,0.5965917233547456,0.5972069305357504,0.0090185807270678,0.7167501372589433,0.9999127759622148,1.0,1.0,208,-10.760401704632644,-75.83670678375461,43.22303682016143
21,7Networks_LH_Cont_pCun_2-lh,lh,Cont,0.014390670832568507,0.012946941545992501,0.007300408727987169,0.5962502349532142,0.5970488230683186,0.009081589594982016,0.7362385764912882,0.9999185775955781,1.0,1.0,208,-7.017724206677307,-60.92232099007134,51.415970837159016
22,7Networks_LH_Default_PFC_1-lh,lh,Default,0.030378497461428053,0.0266637948374313,0.014664148373983048,0.6032701737449967,0.6031393445311233,0.0070767725509197415,0.5811858477043217,0.9999027272863098,1.0,1.0,208,-35.41555273520814,22.084490812704704,-15.082578042399652
23,7Networks_LH_Default_PFC_10-lh,lh,Default,0.009708334852295525,0.007859351314729951,0.0077195141562849574,0.6068055312230138,0.6062329390327785,0.0103803854137702,0.8347360656872027,0.999880808078176,1.0,1.0,208,-53.244488806094765,19.86821067858042,10.648061996735867
24,7Networks_LH_Default_PFC_11-lh,lh,Default,0.01390641452205784,0.011926351418009101,0.009280495920095855,0.6066410112548473,0.6065223553866214,0.008170169145662523,0.7509655492617677,0.9998876135561775,1.0,1.0,208,-16.652498448100907,64.12688667021891,10.012552964724776
25,7Networks_LH_Default_PFC_12-lh,lh,Default,0.019182771019096365,0.018181830987139748,0.008134790296074312,0.5977499103359385,0.5980450633356482,0.008221169178292492,0.8169680781735605,0.999917388885112,1.0,1.0,208,-5.448136830848746,30.143438312911176,21.237053693985988
26,7Networks_LH_Default_PFC_13-lh,lh,Default,0.013084563227481182,0.01177667832696815,0.007677547279197061,0.6014223465564993,0.602189652068593,0.007119820903172219,0.8440675700218273,0.9999003191986316,1.0,1.0,208,-5.358658399160932,49.0758804926848,27.355037936937627
27,7Networks_LH_Default_PFC_14-lh,lh,Default,0.011244797106478965,0.0088824494619735,0.007680719996544153,0.6042442835233867,0.6051930253250671,0.00751201503082425,0.8400058185119907,0.9998898007720967,1.0,1.0,208,-16.577720333903617,54.36081275852045,30.122063154449112
28,7Networks_LH_Default_PFC_15-lh,lh,Default,0.01302649831235028,0.011299854434720352,0.009074185916580216,0.6029616461992758,0.6038110436142026,0.005928272572890494,0.8162835248662113,0.9998975074110713,1.0,1.0,208,-24.65000903312796,44.89307394795034,28.692124938338456
29,7Networks_LH_Default_PFC_16-lh,lh,Default,0.01191895065186565,0.0103487191227555,0.009025175372365333,0.6022722756448171,0.6026637574317834,0.0064974365617483,0.8405975103409394,0.9999000410383606,1.0,1.0,208,-26.229546386109305,26.803473117083488,38.6378469975037
30,7Networks_LH_Default_PFC_17-lh,lh,Default,0.009465063810662023,0.0075153367772738,0.00976312583048666,0.6025051001610301,0.6036526298113931,0.0066042523285863835,0.8649285599636248,0.9998921207972944,1.0,1.0,208,-41.33548079856023,18.13569087818757,45.765911541195216
31,7Networks_LH_Default_PFC_18-lh,lh,Default,0.009885121555811551,0.008605000815195649,0.004953828211458643,0.6029717232019631,0.6035459133498047,0.007761558826285177,0.8564187375228689,0.9998890168596352,1.0,1.0,208,-9.74775480605409,42.90992183266523,48.448833176237855
32,7Networks_LH_Default_PFC_19-lh,lh,Default,0.0124896687286566,0.010837858217001249,0.007054510798257932,0.6010161373242686,0.6019319962157468,0.007154088828442765,0.8469799758896139,0.9999016524745206,1.0,1.0,208,-20.882703936010376,34.39732618116795,42.4120461313348
33,7Networks_LH_Default_PFC_2-lh,lh,Default,0.024676439640724444,0.02288660718854505,0.011850208196354853,0.6070234227629717,0.6057505276705517,0.011112506591595305,0.5415499068787809,0.9998940196684667,1.0,1.0,208,-34.73836611879283,36.41457536713831,-13.202855249931073
34,7Networks_LH_Default_PFC_20-lh,lh,Default,0.00993164915594354,0.0080721995526584,0.009051065399948233,0.601150864357659,0.6023707665195499,0.007452086799053712,0.8559563306387765,0.9998957079729756,1.0,1.0,208,-42.85162354774601,4.787632482870184,45.78667462540932
