subject,tau_mean,tau_std,rho_mean,rho_std,tau_exp_r2_mean,rho_r2_mean,ts_var_mean,n_nan_tau,n_nan_rho
sub-0cGdk9,0.026157878192303436,0.006529685156725393,0.5993082394303355,0.0048580330488186526,0.6736336222227582,0.9999194980738884,1.0,0,0
sub-2IU8mi,0.024875521533593348,0.00649249140068983,0.5937459034986386,0.007849514041321198,0.7996724739148395,0.999928724041055,1.0,0,0
sub-6m9kB5,0.08886091822167866,0.02523419500204624,0.5805052493927463,0.017671452175900607,0.912612243078125,0.9999745613099568,1.0,0,0
sub-A2002,0.012657549846170704,0.009261903069972372,0.6028328348454302,0.008123044829939797,0.7566833788765079,0.9998938566720206,1.0,0,0
sub-A2003,0.010652966929468263,0.006060120596758602,0.6047817441408055,0.007310714348964311,0.8151291311537772,0.9998918381524999,1.0,0,0
sub-A2004,0.015297366675670141,0.008373750306350805,0.6023037405741077,0.009008911746387531,0.772716483011584,0.999900708103532,1.0,0,0
sub-A2005,0.011687381146294064,0.006946524420871116,0.6024096872971522,0.00970300116534352,0.785287859850263,0.9998992654060859,1.0,0,0
sub-A2006,0.014552410785828059,0.010756150908791036,0.6056001565585104,0.008707712267258761,0.7497777108929322,0.9998919261964353,1.0,0,0
sub-A2007,0.01586846934681474,0.011128605669918532,0.6022622392595365,0.011636167099708022,0.7038660875456053,0.9999015274148988,1.0,0,0
sub-A2008,0.014775092509339996,0.010378579818261758,0.5989746871149614,0.013787117471205406,0.8126763513909844,0.9999025970255125,1.0,0,0
sub-A2009,0.011385725231481443,0.006735440910221481,0.5966065508404109,0.01107062075239306,0.8291496568844915,0.9998936544191787,1.0,0,0
sub-A2010,0.013056454174371618,0.010097550788813078,0.6022924588463634,0.007534487118844297,0.7989622267221766,0.9998933458421536,1.0,0,0
sub-A2011,0.018670462074944688,0.012786723997460916,0.6026721168500109,0.007390258747149357,0.723815551517871,0.9999041003874207,1.0,0,0
sub-A2013,0.01493684637595951,0.007378148755728122,0.6015085228513897,0.009636615807998978,0.7983706242098082,0.9999072844061964,1.0,0,0
sub-A2014,0.01281957109452721,0.00704790630094148,0.6015791854383213,0.005753165107401187,0.7883290527962026,0.9998941230176766,1.0,0,0
sub-A2015,0.013540709354670132,0.010937575031010139,0.6042568562771101,0.011659316672526489,0.7545418390193193,0.9998944340148395,1.0,0,0
sub-A2016,0.01302715247598536,0.007117816038901916,0.6024838080678153,0.012193150686710065,0.8084218445190605,0.9998938683509629,1.0,0,0
sub-A2017,0.010540700720607275,0.010588747840665035,0.6062602404643611,0.005320421189429593,0.8208553362712981,0.9998913099777293,1.0,0,0
sub-A2019,0.014545065935627575,0.013641392566213268,0.60235044113937,0.008951700480461991,0.805160516331029,0.999898236484265,1.0,0,0
sub-A2020,0.012118322155664246,0.007434871655953033,0.6035050941627179,0.006642111275971186,0.7392070641119651,0.9998986542227276,1.0,0,0
sub-A2021,0.01436269184776576,0.0061983918158630665,0.5989602219051035,0.012217207234491052,0.7375778850046251,0.9999052934371263,1.0,0,0
sub-A2024,0.013173493419739576,0.008280425227621947,0.6037499719782042,0.010018616914263902,0.7200539457888664,0.9998975138263388,1.0,0,0
sub-A2025,0.009186442257400996,0.004307222215431623,0.6044486132170638,0.0050505566332381445,0.8417358999085985,0.9998969014483067,1.0,0,0
sub-A2027,0.01591861633044933,0.01309433328691707,0.6012840950661656,0.009020422177111322,0.7274772975766639,0.9998969832172268,1.0,0,0
sub-A2028,0.013759200406738645,0.010168201357739968,0.6059585392308917,0.013525554348315314,0.7837466222386943,0.9998956956782382,1.0,0,0
sub-A2029,0.01141777904313527,0.010840376466044653,0.60816804908425,0.006111053020041762,0.7940238634978156,0.9998924706504129,1.0,0,0
sub-A2030,0.010958491284885378,0.007600199812794169,0.6011491008177892,0.009724948408145216,0.8325743542740611,0.9998899101039077,1.0,0,0
sub-A2031,0.012205141104572189,0.00663207560030219,0.6002226585770659,0.0113146762070446,0.7819943512396488,0.9998945328895028,1.0,0,0
sub-A2032,0.012988578371798573,0.008251845556619392,0.6046989402063475,0.008997755175124359,0.7937318403949664,0.9998978146040408,1.0,0,0
sub-A2033,0.010755623021053243,0.007347077956478484,0.6058406825817101,0.010418584660293818,0.8143833906790261,0.9998895309874812,1.0,0,0
sub-A2034,0.011848234029170679,0.0083287681918679,0.6039153175804385,0.008304212157294972,0.7935936443465648,0.9998884122770204,1.0,0,0
sub-A2035,0.014266686163115294,0.00672379863587629,0.5981423146908831,0.014931922394021094,0.8034546273161746,0.9999082413710593,1.0,0,0
sub-A2036,0.018718173855363264,0.015504235433072007,0.6025000000358594,0.007796791459657085,0.7546349840041948,0.9999008842022836,1.0,0,0
sub-A2037,0.012915607562727029,0.00997841267385449,0.6056970312146677,0.0054575234979232215,0.7720164219164892,0.9998957700018044,1.0,0,0
sub-A2038,0.014366152221519445,0.006225017909694053,0.604471471331566,0.01175199104977812,0.7770453317812438,0.9998966588655311,1.0,0,0
sub-A2039,0.014217062868328221,0.009690478432363774,0.5991601566462745,0.008502175975174367,0.7688957795316158,0.9998984487550459,1.0,0,0
sub-A2040,0.014147224112342273,0.00855634640817082,0.6037044400511906,0.008908810978553307,0.7969292966731357,0.999895845190084,1.0,0,0
sub-A2041,0.01422903402867764,0.01324809591639105,0.6022752614538782,0.007509765414635922,0.8010009345646381,0.9998947447584761,1.0,0,0
sub-A2042,0.01238422783803534,0.0064125523611572675,0.5993853626631945,0.008243191269002675,0.7813263629538287,0.9999026248163783,1.0,0,0
sub-A2046,0.014384172478040655,0.011144174018651561,0.6055665595365839,0.01805667332349413,0.7369248353542202,0.9999039454115192,1.0,0,0
sub-A2047,0.013287620100107278,0.005998352541640912,0.6008172620057054,0.017888973825817316,0.6785876067252496,0.9999002057713255,1.0,0,0
sub-A2049,0.015634136486581216,0.013112366263402933,0.6048403695342723,0.008668936009024615,0.7685238203993027,0.9998938476560332,1.0,0,0
sub-A2050,0.015009328774360144,0.006248867772578235,0.5975391192073186,0.007060708986667313,0.784229073384673,0.9999094122353912,1.0,0,0
sub-A2051,0.015541933439503018,0.007161962944499278,0.6005807817896167,0.006429022185930914,0.7662083015446987,0.9999056503386805,1.0,0,0
sub-A2052,0.015622986527969297,0.015952152344785527,0.6027354108226899,0.006058567706638255,0.7728410715049212,0.9998992813290866,1.0,0,0
sub-A2053,0.012440413926360368,0.005827782455521467,0.5982408970702289,0.009914493186639747,0.8280566938906005,0.9999005008541021,1.0,0,0
sub-A2055,0.011405057411070547,0.0055686984668002985,0.5999357491893271,0.00811077806000876,0.7742437339945032,0.9998997852101768,1.0,0,0
sub-A2056,0.009980659545997575,0.004873220927769845,0.6060988304864761,0.005550041464625556,0.8138152301116609,0.9998861370801061,1.0,0,0
sub-A2057,0.01602168284425462,0.014771704915227885,0.6061457467843051,0.011696168620126209,0.736761928056184,0.9998952409769519,1.0,0,0
sub-A2058,0.01346401789749527,0.010035152626526931,0.6019531325300215,0.009652793142619258,0.8139053310855905,0.9999053667217337,1.0,0,0
sub-A2059,0.015776250749839058,0.007057989664286273,0.5986398869336378,0.007539013372234729,0.7012012846166344,0.9999091522908973,1.0,0,0
sub-A2061,0.01334556493545117,0.009061362944707326,0.6053515071715327,0.007600657253906533,0.7543946742411957,0.9998908927641278,1.0,0,0
sub-A2062,0.013056967534511913,0.007736388726939695,0.6042244865222524,0.011350446725713233,0.7832536706626442,0.9998958638549026,1.0,0,0
sub-A2063,0.01101430621105208,0.006025394109903933,0.601972948825664,0.005850153963281293,0.7618176352921494,0.9998919505789655,1.0,0,0
sub-A2064,0.01255513132503829,0.0050106579758349866,0.6018797519888328,0.008376117936111515,0.8337299109207879,0.9998984217971213,1.0,0,0
sub-A2065,0.01335477903451711,0.009496240580813546,0.6086982460099561,0.010489081710253048,0.7730602641201698,0.9998949778757703,1.0,0,0
sub-A2066,0.011503435632279178,0.0054630095515934935,0.6025494147764442,0.009206455066895936,0.7549114572647422,0.9998937523166269,1.0,0,0
sub-A2067,0.010433628661847738,0.007349185362543345,0.603722819769671,0.008378684933304204,0.8322064243193209,0.9998973690489235,1.0,0,0
sub-A2068,0.012687327161628605,0.011785127207045446,0.6024850391513344,0.005903105671277321,0.8216870954306742,0.9998977417935284,1.0,0,0
sub-A2069,0.013832964389068466,0.006978479875677143,0.6036036317644954,0.008664925945245629,0.8009441734204957,0.999894657756441,1.0,0,0
sub-A2070,0.01119673088355967,0.0067360465700863495,0.6034980322718977,0.009909272339038865,0.7685266640150074,0.9998922353662046,1.0,0,0
sub-A2071,0.010635491743165228,0.004096599343131016,0.5974660504122674,0.012751714762290846,0.8291432255479001,0.9999040335398081,1.0,0,0
sub-A2072,0.013990825188214576,0.007522247344600196,0.5990392882671957,0.009435785011578783,0.697855815424073,0.9999008016860006,1.0,0,0
sub-A2073,0.010541669916853789,0.006069489418840938,0.6030430346553827,0.008454134811597569,0.7371452431058251,0.9998858762581904,1.0,0,0
sub-A2075,0.014861705292354546,0.010293136593904507,0.6029502799320543,0.010319555836336319,0.7447698020610164,0.9998956461193474,1.0,0,0
sub-A2076,0.016429799459229438,0.008606848439816035,0.595598001902392,0.015837854274108328,0.7442450690475189,0.99990838223076,1.0,0,0
sub-A2077,0.015256394508496739,0.008245760909300612,0.5971143181043765,0.01087152965952297,0.807747652166011,0.9999114300052747,1.0,0,0
sub-A2078,0.014126743889754897,0.013028502480413,0.60428140016294,0.010595578988330308,0.771709199698167,0.9998930007627636,1.0,0,0
sub-A2079,0.011938166485186568,0.0050132166075912855,0.6016603665758423,0.005935606718431996,0.8472236339995056,0.9999012102959095,1.0,0,0
sub-A2080,0.015785301551698078,0.006418939455954078,0.5940209017825862,0.01298852444801499,0.7247803178254051,0.9999101418592498,1.0,0,0
sub-A2083,0.013644665132100787,0.006246093368601808,0.5961946862158487,0.013695207304608294,0.7040048441850435,0.9998996749963431,1.0,0,0
sub-A2084,0.013303464972163575,0.005735561782899941,0.5994759369225547,0.011571803964661145,0.8180556564443026,0.9999049110456754,1.0,0,0
sub-A2085,0.009955015482710626,0.004510064116164243,0.5968828183355042,0.006778520747478789,0.7643013110090334,0.9998962393209001,1.0,0,0
sub-A2086,0.011794336117986692,0.005453753832520083,0.6005144007953497,0.005970404523604353,0.7447309239324806,0.999895342931908,1.0,0,0
sub-A2088,0.01123647549952582,0.004342444176278454,0.6021635345233395,0.010389783567542065,0.8082647770933271,0.9998978075442351,1.0,0,0
sub-A2089,0.015135649029038937,0.009416675721445769,0.5954439895978907,0.010499276323243597,0.7814056238949895,0.9999109480223923,1.0,0,0
sub-A2090,0.01147052406844381,0.00549624945635639,0.603214785644899,0.008779042375663026,0.8029119553749716,0.9999065188133184,1.0,0,0
sub-A2091,0.010866063512750183,0.00583227277757754,0.5981929729517484,0.009719509960356825,0.8178282602466124,0.9999030510697039,1.0,0,0
sub-A2092,0.011364312655506652,0.0052337431966521,0.6036655050112463,0.01845426101403312,0.8204830130605497,0.9999072166591029,1.0,0,0
sub-A2094,0.012359584057171987,0.006087970282500033,0.6003083665874924,0.00949860942534152,0.8028506522773233,0.9999012626860654,1.0,0,0
sub-A2095,0.015945994112968674,0.007794527311547575,0.5956619289326176,0.009855136777369126,0.7775124245362299,0.9999061913817436,1.0,0,0
sub-A2096,0.014176516980141754,0.0061855724036456484,0.5951538318749167,0.0084195916672349,0.7428771579608162,0.9999087521338943,1.0,0,0
sub-A2097,0.018836016725241284,0.00867526832268932,0.5984040354782421,0.0071904489750852,0.7106079022566264,0.9999165447159581,1.0,0,0
sub-A2098,0.011265937506989477,0.004966570036567506,0.6015235946533152,0.013867257419881464,0.866798926220094,0.9999038617750583,1.0,0,0
sub-A2099,0.012523412013966234,0.0062106742160118545,0.5983101888725161,0.010518443318134717,0.7842962369186594,0.9998988326479112,1.0,0,0
sub-A2101,0.012249916624718454,0.005704040726659419,0.60090658248734,0.007548922411544898,0.7621676083804216,0.9998917935278584,1.0,0,0
sub-A2102,0.012593236448403756,0.006934350555535746,0.6035425239258758,0.009276525392793233,0.778364104874783,0.9999012976432298,1.0,0,0
sub-A2103,0.012507446368543496,0.010930300917327104,0.6060990761464822,0.010586435977504022,0.8107317885109091,0.9998863046794428,1.0,0,0
sub-A2104,0.014747393545123546,0.006926516013534885,0.598871247845319,0.006813774016293859,0.6093352607834294,0.9998969511999373,1.0,0,0
sub-A2105,0.013167945978793533,0.006278365672167938,0.601987262922594,0.00920077802284198,0.7915547677021717,0.9998982440068601,1.0,0,0
sub-A2106,0.013118018474427735,0.006338390449315091,0.6038853443312774,0.004653082688216889,0.796922544304005,0.9998940503554968,1.0,0,0
sub-A2108,0.01298865377212514,0.008088175228626704,0.6054474686085959,0.004713216167998106,0.7759791962228978,0.9998868200863199,1.0,0,0
sub-A2109,0.01312616273450377,0.009822939447860862,0.596870688879036,0.009159757537934963,0.806960058652651,0.9998986465336017,1.0,0,0
sub-A2110,0.010750837707952139,0.005900464669519072,0.6066173167455235,0.009012779601400844,0.7860970906994784,0.9998915083911789,1.0,0,0
sub-A2111,0.012537872106073966,0.006824665549952675,0.6033594360675052,0.006041462780634782,0.7756190757635886,0.9998932213685645,1.0,0,0
sub-A2113,0.01451985486004738,0.008079370945100436,0.6016219191396476,0.011256633349543797,0.7649316872345339,0.9999005142922502,1.0,0,0
sub-A2114,0.011545726464320456,0.004723910413835708,0.6007487015980254,0.010147170942178763,0.8512682601356653,0.9999015169497079,1.0,0,0
sub-A2116,0.015937643419419462,0.011627571358103246,0.6023169883426523,0.011150747948979514,0.8073477603421781,0.9998985117058071,1.0,0,0
sub-A2117,0.014474622831188269,0.00968882971232735,0.6001904318316761,0.010693351821601029,0.727642525986843,0.9998984196122573,1.0,0,0
sub-A2120,0.014542052864084849,0.006578578184839671,0.5981106773650309,0.009950282932801579,0.7678661315506312,0.9999066664327483,1.0,0,0
