parcel,x,y,z,tau_fmri,spectral_exp,alff,falff,rho_fmri,coverage,n_subjects
1,-32.16138328530259,-41.44092219020173,-21.048991354466857,3.8999746367145467,-0.9977003706239013,3.4946276159355643,0.9138539074977591,0.5628265277248733,1.0,200
2,-30.061176470588236,-32.550588235294114,-18.04705882352941,3.6697385467388233,-0.7159915081013395,3.336523560574155,0.8724650145990196,0.5779830487160359,1.0,200
3,-35.36569579288026,-62.032362459546924,-17.055016181229774,4.123397150752134,-1.1046061993497525,3.4459148580641834,0.9191980651690156,0.5584310168616432,1.0,200
4,-24.518703241895267,-54.45386533665835,-8.249376558603494,3.86208560649974,-0.8323086055033342,3.3638359508387676,0.8845496844058508,0.573590228133396,1.0,200
5,-23.36150234741784,-72.67136150234742,-10.305164319248824,3.0827195104598673,-0.3240952651896519,3.2914872511048787,0.8354843209244817,0.5959342851114917,1.0,200
6,-36.41456582633053,-81.38935574229691,-15.966386554621849,3.9400584986313083,-0.9379899508565692,3.435654203430364,0.9068939628544802,0.5650872712719679,0.995,200
7,-18.612021857923494,-37.2896174863388,-11.770491803278688,3.1768908091466947,-0.3935394464565997,3.291297351906715,0.8438758548082201,0.5950174657384926,1.0,200
8,-45.15973741794312,-70.04814004376368,-8.301969365426693,3.3659083203138223,-0.5047162211756305,3.3181358955653457,0.8520356334634154,0.5905558558352422,1.0,200
9,-16.950000000000003,-86.3875,-14.987499999999997,4.153931176673608,-1.1017851649585453,3.4625165103263824,0.919566180457751,0.5582695116382366,0.955,200
10,-12.168582375478934,-61.18773946360153,-4.727969348659002,3.855478163775324,-0.85790543442656,3.368742221435422,0.8913122223172136,0.5723172370205865,1.0,200
11,-6.727272727272734,-75.76623376623377,-5.733766233766232,3.1050784042626685,-0.3605198618807099,3.3037646132721123,0.8406377575540794,0.5938130597651591,1.0,200
12,-24.406779661016955,-96.74576271186442,-11.92467043314501,4.020561370057796,-1.0181985673770966,3.4786823316421183,0.9141724068202552,0.5613218269941581,0.885,200
13,-13.445378151260499,-42.94117647058823,-5.445378151260499,2.960651764474187,-0.30209874094032946,3.338819912680903,0.8402944679856844,0.5975635152666818,1.0,200
14,-41.553846153846166,-86.43076923076923,-3.2564102564102626,3.2500231193462157,-0.49371128625266586,3.3386688640042648,0.8569008444191358,0.5898281719247075,0.995,200
15,-7.437984496124031,-97.31007751937985,-7.244186046511629,4.12892848821375,-1.1117886589853854,3.4652851379590213,0.9230173057140694,0.5565905992614737,0.915,200
16,-14.103092783505161,-56.85567010309278,1.3402061855670127,2.9836757451695233,-0.26993154934361596,3.297958859993693,0.8332212201784742,0.5984376290559872,1.0,200
17,-46.14953271028037,-73.07476635514018,6.135514018691595,3.3700996316707066,-0.5257942958367267,3.3321677789447124,0.8562255126591768,0.5894840958444657,1.0,200
18,-4.633093525179859,-88.41247002398082,1.7553956834532443,3.00636720044953,-0.3235748909762159,3.309746706499577,0.8424936829343195,0.5975366244534367,0.995,200
19,-24.431239388794566,-95.87436332767402,5.925297113752123,3.988273493839199,-0.9799899852143311,3.446551441055433,0.9134223623200468,0.5634775397340982,0.965,200
20,-13.533333333333331,-48.88333333333334,3.9833333333333343,4.077615460201614,-0.9853325612994922,3.4272763445489987,0.9046510575457894,0.5630758218990869,1.0,200
21,-7.372549019607845,-74.21350762527233,9.51633986928104,4.213445699675663,-1.1407311825337565,3.427513843901305,0.9213754545421147,0.5556635910874685,1.0,200
22,-18.886178861788622,-64.21951219512195,6.975609756097555,2.8840317522376036,-0.21920877384563348,3.3114467937598366,0.8369990507567764,0.6006732477303802,1.0,200
23,-39.415492957746466,-83.74647887323944,14.140845070422529,3.126737223687129,-0.36503066597489314,3.3457295825774644,0.847055523035251,0.5954117833034146,0.995,200
24,-10.913043478260875,-96.53846153846155,17.163879598662206,3.396809450051503,-0.597881944570446,3.3599712204062486,0.8686827351215511,0.5843937524465066,0.94,200
25,-2.9635974304068498,-84.18415417558887,24.50107066381156,4.046119115286307,-0.9985878915715293,3.4244956359077547,0.908016382321826,0.5626551282270552,0.995,200
26,-12.198630136986296,-71.04109589041096,20.472602739726028,3.0433978966216584,-0.33315586778302486,3.286337610523848,0.8387104920817717,0.5975863068756451,1.0,200
27,-24.914772727272734,-84.6534090909091,21.903409090909093,2.873420945235095,-0.22326661886396346,3.3244056034324165,0.8349346280714636,0.5991770102234614,0.985,200
28,-31.809954751131215,-84.12669683257919,27.031674208144793,2.963579474122177,-0.29449141166203474,3.3216133037278817,0.8343395643494913,0.5962711838600435,0.965,200
29,-16.006211180124225,-88.98136645962734,33.58385093167702,3.022872307910201,-0.3075853202702861,3.3022579904072282,0.8357634400006216,0.5966959688966403,0.885,200
30,-12.031999999999996,-80.832,35.952,3.027168433130117,-0.3235129426709936,3.3292336325044976,0.8393190414969455,0.5966290472069473,0.91,200
31,-21.235521235521233,-78.58687258687259,44.6949806949807,4.183966021529012,-1.0906804639588263,3.4738470829295958,0.9214417421337934,0.5614851549147052,0.855,200
32,-49.79591836734693,-9.775510204081627,0.45408163265305745,4.333349029570912,-1.175451557030589,3.466617764361516,0.9231389211954838,0.5564335518669082,1.0,200
33,-55.94285714285715,-21.35918367346939,7.70204081632653,3.4917169530875385,-0.7436001513283262,3.5021071907294594,0.902971549960525,0.5764666269408245,1.0,200
